"name","Class","Description"
"YGR086C","U","YGR086c strong similarity to hypothetical protein YPL004c"
"YLR340W","P","RPP0 acidic ribosomal protein L10.e"
"YFL022C","P","FRS2 phenylalanine--tRNA ligase beta chain, cytosolic"
"YNR012W","M","URK1 uridine kinase"
"YBL038W","P","MRPL16 ribosomal protein of the large subunit, mitochondrial"
"YNL099C","U","YNL099c similarity to YNL032w, YNL056w and YDR067c"
"YDR041W","P","RSM10 component of the mitochondrial ribosomal small subunit"
"YHL015W","P","RPS20 ribosomal protein"
"YML098W","T","TAF19 TFIID subunit (TBP-associated factor), 19 kD"
"YDR298C","E","ATP5 F1F0-ATPase complex, OSCP subunit"
"YML026C","P","RPS18B ribosomal protein S18.e.c13"
"YGR264C","P","MES1 methionyl-tRNA synthetase"
"YFR049W","P","YMR31 ribosomal protein, mitochondrial"
"YDR354W","G","TRP4 anthranilate phosphoribosyltransferase"
"YER178W","E","PDA1 pyruvate dehydrogenase (lipoamide) alpha chain precursor"
"YJL063C","P","MRPL8 ribosomal protein L17, mitochondrial"
"YJR121W","E","ATP2 F1F0-ATPase complex, F1 beta subunit"
"YKL170W","P","MRPL38 ribosomal protein of the large subunit (L14), mitochondrial"
"YPL183W-A","P","YPL183w-a strong similarity to mitochondrial and bacterial ribosomal L36 proteins"
"YNL071W","E","LAT1 dihydrolipoamide S-acetyltransferase"
"YKL103C","F","LAP4 aminopeptidase yscI precursor, vacuolar"
"YBR221C","E","PDB1 pyruvate dehydrogenase (lipoamide) beta chain precursor"
"YGL112C","B","TAF60 TFIID and SAGA subunit"
"YDR190C","T","RVB1 RUVB-like protein"
"YJL026W","M","RNR2 ribonucleoside-diphosphate reductase, small subunit"
"YDR116C","P","YDR116c similarity to bacterial ribosomal L1 proteins"
"YIL104C","U","YIL104c similarity to hypothetical S. pombe protein"
"YAL032C","T","PRP45 pre-mRNA splicing factor"
"YJL014W","F","CCT3 chaperonin of the TCP1 ring complex, cytosolic"
"YDL185W","O","TFP1 H+-ATPase V1 domain 69 KD catalytic subunit, vacuolar"
"YNR016C","M","ACC1 acetyl-CoA carboxylase"
"YIL142W","F","CCT2 chaperonin of the TCP1 ring complex, cytosolic"
"YNL078W","U","JIP1 hypothetical protein"
"YDR091C","A","RLI1 strong similarity to human RNase L inhibitor and M.jannaschii ABC transporter protein"
"YKL182W","M","FAS1 fatty-acyl-CoA synthase, beta chain"
"YGR103W","U","RRP13 similarity to zebrafish essential for embryonic development gene pescadillo"
"YGL019W","T","CKB1 casein kinase II, beta subunit"
"YIL050W","U","PCL7 cyclin like protein interacting with PHO85P"
"YOR151C","T","RPB2 DNA-directed RNA polymerase II, 140 kDa chain"
"YIL125W","E","KGD1 2-oxoglutarate dehydrogenase complex E1 component"
"YHR102W","D","KIC1 ser/thr protein kinase that interacts with CDC31P"
"YJR050W","T","ISY1 pre-mRNA splicing factor"
"YDL097C","F","RPN6 subunit of the regulatory particle of the proteasome"
"YPR016C","P","TIF6 translation initiation factor 6 (eIF6)"
"YBL021C","B","HAP3 CCAAT-binding factor subunit"
"YKL145W","F","RPT1 26S proteasome regulatory subunit"
"YGR013W","T","SNU71 associated with U1 snRNP, no counterpart in mammalian U1 snRNP"
"YFL018C","G","LPD1 dihydrolipoamide dehydrogenase precursor"
"YHR005C","A","GPA1 GTP-binding protein alpha subunit of the pheromone pathway"
"YCL030C","G","HIS4 phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP pyrophosphatase/histidinol dehydrogenase"
"YER059W","U","PCL6 cyclin like protein interacting with PHO85P"
"YBR256C","M","RIB5 riboflavin synthase, alpha chain"
"YPR051W","F","MAK3 N-acetyltransferase"
"YMR189W","G","GCV2 glycine decarboxylase P subunit"
"YOR272W","D","YTM1 microtubule-interacting protein"
"YFR004W","F","RPN11 26S proteasome regulatory subunit"
"YDL007W","F","RPT2 26S proteasome regulatory subunit"
"YDL111C","T","RRP42 rRNA processing protein"
"YDR301W","T","CFT1 pre-mRNA 3'-end processing factor CF II"
"YPR066W","F","UBA3 ubiquitin-like protein activating enzyme"
"YLR175W","T","CBF5 putative rRNA pseuduridine synthase"
"YKR068C","O","BET3 involved in targeting and fusion of ER to golgi transport vesicles"
"YBR055C","T","PRP6 snRNP(U4/U6)-associated splicing factor"
"YCL010C","U","YCL010c strong similarity to Saccharomyces pastorianus hypothetical protein LgYCL010c"
"YHR200W","F","RPN10 26S proteasome regulatory subunit"
"YHR069C","T","RRP4 3'->5' exoribonuclease required for 3' end formation of 5.8S rRNA"
"YNL132W","C","KRE33 similarity to A.ambisexualis antheridiol steroid receptor"
"YAL044C","G","GCV3 glycine decarboxylase, subunit H"
"YOL058W","G","ARG1 argininosuccinate synthetase"
"YBL033C","M","RIB1 GTP cyclohydrolase II"
"YBR193C","T","MED8 transcriptional regulation mediator"
"YDR158W","G","HOM2 aspartate-semialdehyde dehydrogenase"
"YGR020C","A","VMA7 H+-ATPase V1 domain 14 kDa subunit, vacuolar"
"YOR206W","O","NOC2 crucial for intranuclear movement of ribosomal precursor particles"
"YNL061W","T","NOP2 nucleolar protein"
"YGR095C","T","RRP46 involved in rRNA processing"
"YGR048W","F","UFD1 ubiquitin fusion degradation protein"
"YMR290C","D","HAS1 helicase associated with SET1P"
"YOR259C","F","RPT4 26S proteasome regulatory subunit"
"YBR127C","O","VMA2 H+-ATPase V1 domain 60 KD subunit, vacuolar"
"YIL116W","G","HIS5 histidinol-phosphate aminotransferase"
"YOR270C","O","VPH1 H+-ATPase V0 domain 95K subunit, vacuolar"
"YHL030W","C","ECM29 involved in cell wall biogenesis and architecture"
"YKL067W","M","YNK1 nucleoside diphosphate kinase"
"YGR195W","T","SKI6 3'->5' exoribonuclease required for 3' end formation of 5.8S rRNA"
"YGR083C","P","GCD2 translation initiation factor eIF2B, 71 kDa (delta) subunit"
"YLR347C","O","KAP95 karyopherin-beta"
"YOR210W","T","RPB10 DNA-directed polymerase I, II, III 8.3 subunit"
"YPR167C","G","MET16 3'-phosphoadenylylsulfate reductase"
"YCL017C","A","NFS1 regulates Iron-Sulfur cluster proteins, cellular Iron uptake, andIron distribution"
"YGL137W","O","SEC27 coatomer complex beta' chain (beta'-cop) of secretory pathway vesicles"
"YJR093C","T","FIP1 component of pre-mRNA polyadenylation factor PF I"
"YLR170C","O","APS1 AP-1 complex subunit, sigma1 subunit, 18 KD"
"YLR447C","A","VMA6 H+-ATPase V0 domain 36 KD subunit, vacuolar"
"YDR211W","P","GCD6 translation initiation factor eIF2b epsilon, 81 kDa subunit"
"YBR216C","U","YBR216c strong similarity to hypothetical protein YGL060w"
"YJL164C","C","TPK1 cAMP-dependent protein kinase 1, catalytic chain"
"YNR035C","O","ARC35 subunit of the ARP2/3 complex"
"YPR108W","F","RPN7 subunit of the regulatory particle of the proteasome"
"YLR117C","D","CLF1 strong similarity to Drosophila putative cell cycle control protein crn"
"YGR261C","O","APL6 AP-3 complex subunit, beta3-adaptin, 91 KD"
"YGR091W","T","PRP31 pre-mRNA splicing protein"
"YBL004W","U","YBL004w weak similarity to Papaya ringspot virus polyprotein"
"YDR195W","T","REF2 RNA 3'-end formation protein"
"YAL016W","C","TPD3 ser/thr protein phosphatase 2A, regulatory chain A"
"YGR090W","U","YGR090w similarity to PIR:T40678 hypothetical protein SPBC776.08c S. pombe"
"YBR260C","C","RGD1 similarity to C.elegans GTPase-activating protein"
"YDR240C","T","SNU56 U1 snRNA protein, no counterpart in mammalian snRNP"
"YGL111W","U","YGL111w weak similarity to hypothetical protein S. pombe"
"YER069W","G","ARG5,6 acetylglutamate kinase and acetylglutamyl-phosphate reductase"
"YJR065C","O","ARP3 actin related protein"
"YJL138C","P","TIF2 translation initiation factor eIF4A"
"YEL011W","E","GLC3 1,4-glucan branching enzyme (glycogen branching enzyme)"
"YNL287W","O","SEC21 coatomer complex gamma chain (gamma-COP) of secretory pathway vesicles"
"YMR125W","T","STO1 large subunit of the nuclear cap-binding protein complex CBC"
"YJR113C","P","RSM7 similarity to bacterial, chloroplast and mitochondrial ribosomal protein S7"
"YNR006W","O","VPS27 vacuolar protein sorting-associated protein"
"YDL126C","D","CDC48 microsomal protein of CDC48/PAS1/SEC18 family of ATPases"
"YGL190C","C","CDC55 ser/thr phosphatase 2A regulatory subunit B"
"YPL135W","M","ISU1 strong similarity to nitrogen fixation protein (nifU)"
"YHR216W","M","IMD2 IMP dehydrogenase"
"YOL038W","F","PRE6 20S proteasome subunit (alpha4)"
"YER025W","P","GCD11 translation initiation factor eIF2 gamma chain"
"YOL021C","T","DIS3 3'->5' exoribonuclease required for 3' end formation of 5.8S rRNA"
"YER022W","T","SRB4 DNA-directed RNA polymerase II holoenzyme and Kornberg's mediator (SRB) subcomplex subunit"
"YML100W","M","TSL1 alpha,alpha-trehalose-phosphate synthase, 123 KD subunit"
"YMR261C","M","TPS3 alpha,alpha-trehalose-phosphate synthase, 115 KD subunit"
"YDR299W","O","BFR2 involved in protein transport steps at the Brefeldin A blocks"
"YDL029W","O","ARP2 actin-like protein"
"YJL109C","U","YJL109c weak similarity to ATPase DRS2P"
"YDL147W","F","RPN5 subunit of the regulatory particle of the proteasome"
"YDL145C","O","COP1 coatomer complex alpha chain of secretory pathway vesicles"
"YER026C","M","CHO1 CDP-diacylglycerol serine O-phosphatidyltransferase"
"YMR314W","F","PRE5 20S proteasome subunit(alpha6)"
"YGR173W","U","YGR173w strong similarity to human GTP-binding protein"
"YDL188C","C","PPH22 protein ser/thr phosphatase PP2A-2"
"YDL031W","T","DBP10 putative RNA helicase involved in ribosome biogenesis"
"YKR026C","P","GCN3 translation initiation factor eIF2B, 34 KD, alpha subunit"
"YGR135W","F","PRE9 20S proteasome subunit Y13 (alpha3)"
"YJL088W","G","ARG3 ornithine carbamoyltransferase"
"YDR449C","U","YDR449c similarity to hypothetical protein S. pombe"
"YMR112C","T","MED11 mediator complex subunit"
"YJL074C","D","SMC3 required for structural maintenance of chromosomes"
"YFR037C","B","RSC8 subunit of the RSC complex"
"YER082C","U","KRE31 similarity to M.sexta steroid regulated MNG10 protein"
"YCR035C","T","RRP43 rRNA processing protein"
"YPL111W","G","CAR1 arginase"
"YBR079C","P","RPG1 translation initiation factor eIF3 (p110 subunit)"
"YFR051C","O","RET2 coatomer complex delta chain"
"YOR250C","T","CLP1 cleavage/polyadenylation factor IA subunit"
"YBR208C","M","DUR1,2 urea amidolyase"
"YGR262C","U","BUD32 weak similarity to protein kinases and M.jannaschii O-sialoglycoprotein endopeptidase homolog"
"YKL172W","T","EBP2 required for pre-rRNA processing and ribosomal subunit assembly"
"YML092C","F","PRE8 20S proteasome subunit Y7 (alpha2)"
"YJR007W","P","SUI2 translation initiation factor eIF2, alpha chain"
"YOR136W","E","IDH2 isocitrate dehydrogenase (NAD+) subunit 2, mitochondrial"
"YKL104C","M","GFA1 glucosamine--fructose-6-phosphate transaminase"
"YOR304W","B","ISW2 strong similarity to Drosophila ISW1 and human SNF2P homolog"
"YNR003C","T","RPC34 DNA-directed RNA polymerase III, 34 KD subunit"
"YJL041W","O","NSP1 nuclear pore protein"
"YLR355C","G","ILV5 ketol-acid reducto-isomerase"
"YDR378C","T","LSM6 Sm-like (Lsm) protein"
"YPR110C","T","RPC40 DNA-directed RNA polymerase I, III 40 KD subunit"
"YOR142W","E","LSC1 succinate-CoA ligase alpha subunit"
"YCR057C","C","PWP2 periodic tryptophan protein"
"YER174C","R","GRX4 member of the subfamily of yeast glutaredoxins (Grx3, GRX4, and Grx5)"
"YPR104C","B","FHL1 transcriptional activator of the forkhead/hnf3 family"
"YCR012W","E","PGK1 phosphoglycerate kinase"
"YBR146W","P","MRPS9 ribosomal protein S9 precursor, mitochondrial"
"YLR025W","C","SNF7 class E Vps protein"
"YER016W","D","BIM1 binding to microtubules"
"YGL011C","F","SCL1 20S proteasome subunit YC7ALPHA/Y8 (alpha1)"
"YBR059C","F","AKL1 Ark-family Kinase-Like protein"
"YKL009W","T","MRT4 mRNA turnover 4"
"YNL330C","B","RPD3 histone deacetylase B"
"YCR093W","B","CDC39 nuclear protein"
"YER086W","G","ILV1 anabolic serine and threonine dehydratase precursor"
"YKL013C","O","ARC19 subunit of the ARP2/3 complex"
"YAL029C","O","MYO4 myosin heavy chain, unconventional (class V) isoform"
"YGR263C","U","YGR263c weak similarity to E.coli lipase like enzyme"
"YBR081C","B","SPT7 involved in alteration of transcription start site selection"
"YHR203C","P","RPS4B ribosomal protein S4.e.c8"
"YMR047C","O","NUP116 nuclear pore protein"
"YOR174W","T","MED4 transcription regulation mediator"
"YLR314C","D","CDC3 cell division control protein"
"YDR324C","U","YDR324c weak similarity to beta transducin from S. pombe and other WD-40 repeat containing proteins"
"YDL047W","C","SIT4 ser/thr protein phosphatase"
"YGR245C","D","SDA1 required for normal organization of the actin cytoskeleton; required for passage through Start"
"YGL009C","G","LEU1 3-isopropylmalate dehydratase"
"YGL234W","M","ADE5,7 phosphoribosylamine-glycine ligase and phosphoribosylformylglycinamidine cyclo-ligase"
"YER012W","F","PRE1 20S proteasome subunit C11(beta4)"
"YKR025W","T","RPC37 Pol III transcription"
"YIL076W","O","SEC28 epsilon-COP coatomer subunit"
"YGL195W","P","GCN1 translational activator"
"YPL139C","D","UME1 negative regulator of meiosis"
"YDL030W","T","PRP9 pre-mRNA splicing factor (snRNA-associated protein)"
"YJR076C","D","CDC11 septin"
"YGL245W","P","YGL245w strong similarity to glutamine--tRNA ligase"
"YHR018C","G","ARG4 arginosuccinate lyase"
"YLR153C","E","ACS2 acetyl-coenzyme A synthetase"
"YDL006W","C","PTC1 protein serine/threonine phosphatase 2c"
"YDR342C","A","HXT7 high-affinity hexose transporter"
"YOR184W","G","SER1 phosphoserine transaminase"
"YOR001W","U","RRP6 similarity to human nucleolar 100K polymyositis-scleroderma protein"
"YKR060W","U","YKR060w similarity to hypothetical protein S. pombe"
"YBR160W","D","CDC28 cyclin-dependent protein kinase"
"YBR195C","D","MSI1 chromatin assembly complex, subunit p50"
"YMR239C","T","RNT1 double-stranded ribonuclease"
"YJR063W","T","RPA12 DNA-directed RNA polymerase I, 13.7 KD subunit"
"YBL002W","B","HTB2 histone H2B.2"
"YGL068W","P","YGL068w strong similarity to Cricetus mitochrondial ribosomal L12 protein"
"YNL207W","U","YNL207w similarity to M.jannaschii hypothetical protein MJ1073"
"YPR168W","B","NUT2 negative transcription regulator from artifical reporters"
"YGL120C","T","PRP43 involved in spliceosome disassembly"
"YBR130C","C","SHE3 required for mother cell-specific expression of HO"
"YKL001C","G","MET14 ATP adenosine-5'-phosphosulfate 3'-phosphotransferase"
"YLR129W","D","DIP2 DOM34P-interacting protein"
"YGL156W","M","AMS1 alpha-mannosidase"
"YPL266W","T","DIM1 rRNA (adenine-N6,N6-)-dimethyltransferase"
"YLR432W","M","IMD3 strong similarity to IMP dehydrogenases, Pur5p and YML056c"
"YIR005W","T","IST3 similarity to RNA-binding proteins"
"YOR180C","M","DCI1 Enoyl-CoA Hydratase, peroxisomal"
"YBL041W","F","PRE7 20S proteasome subunit(beta6)"
"YDL014W","T","NOP1 fibrillarin"
"YMR213W","D","CEF1 required during G2/M transition"
"YBR253W","T","SRB6 DNA-directed RNA polymerase II suppressor protein"
"YJR042W","O","NUP85 nuclear pore protein"
"YIL093C","U","RSM25 weak similarity to S.pombe hypothetical protein SPBC16A3"
"YKL144C","T","RPC25 DNA-direcred RNA polymerase III, 25 KD subunit"
"YIL078W","P","THS1 threonyl tRNA synthetase, cytosolic"
"YCR033W","U","YCR033w similarity to nuclear receptor co-repressor N-Cor"
"YDR308C","T","SRB7 DNA-directed RNA polymerase II holoenzyme and kornberg's mediator (SRB) subcomplex subunit"
"YEL054C","P","RPL12A 60S large subunit ribosomal protein L12.e"
"YKL143W","R","LTV1 low-temperature viability protein"
"YPL181W","U","YPL181w weak similarity to YKR029c"
"YGR186W","T","TFG1 TFIIF subunit (transcription initiation factor), 105 kD"
"YAL035W","P","FUN12 general translation factor eIF2 homolog"
"YNL201C","M","YNL201c weak similarity to pleiotropic drug resistance control protein PDR6"
"YOR056C","U","YOR056c weak similarity to human phosphorylation regulatory protein HP-10"
"YLR449W","F","FPR4 nucleolar peptidylprolyl cis-trans isomerase (PPIase)"
"YEL056W","B","HAT2 subunit of the major yeast histone acetyltransferase"
"YKR069W","M","MET1 siroheme synthase"
"YDR337W","P","MRPS28 ribosomal protein of the small subunit, mitochondrial"
"YDL192W","O","ARF1 small GTP-binding protein of the ARF family"
"YMR199W","D","CLN1 cyclin, G1/S-specific"
"YDR140W","F","FYV9 similarity to probable methyltransferase S. pombe"
"YOR362C","F","PRE10 20S proteasome subunit C1 (alpha7)"
"YNL333W","M","SNZ2 putative pyridoxine (vitamin B6) biosynthetic enzyme"
"YJL005W","C","CYR1 adenylate cyclase"
"YNL182C","U","YNL182c weak similarity to S.pombe hypothetical protein"
"YPL211W","T","NIP7 required for efficient 60S ribosome subunit biogenesis"
"YNL262W","D","POL2 DNA-directed DNA polymerase epsilon, catalytic subunit A"
"YPL049C","C","DIG1 MAP kinase-associated protein, down-regulator of invasive growth and mating"
"YDR385W","P","EFT2 translation elongation factor eEF2"
"YBR142W","T","MAK5 ATP-dependent RNA helicase"
"YDR416W","T","SYF1 synthetic lethal with CDC40"
"YAL021C","B","CCR4 transcriptional regulator"
"YNL261W","D","ORC5 origin recognition complex, 50 kDa subunit"
"YKR014C","O","YPT52 GTP-binding protein of the rab family"
"YPL204W","D","HRR25 casein kinase I, ser/thr/tyr protein kinase"
"YOR150W","P","MRPL23 ribosomal protein of the large subunit, mitochondrial"
"YML102W","D","CAC2 chromatin assembly complex, subunit p60"
"YER177W","C","BMH1 14-3-3 protein involved in rapamycin-sensitive signalling"
"YMR120C","M","ADE17 5-aminoimidazole-4-carboxamide ribotide transformylase"
"YPL256C","C","CLN2 cyclin, G1/S-specific"
"YDR188W","F","CCT6 component of chaperonin-containing T-complex (zeta subunit)"
"YNL104C","G","LEU4 2-isopropylmalalate synthase"
"YGL022W","F","STT3 oligosaccharyl transferase subunit"
"YIL128W","B","MET18 involved in NER repair and RNA polymerase II transcription"
"YER126C","U","KRE32 weak similarity to E.coli colicin N"
"YER052C","G","HOM3 L-aspartate 4-P-transferase"
"YGR218W","O","CRM1 nuclear export factor, exportin"
"YJL042W",NA,NA
"YGL197W","C","MDS3 negative regulator of early meiotic expression"
"YGR232W","F","NAS6 possible homolog of human 26S proteasome regulatory subunit p28"
"YHR166C","D","CDC23 subunit of anaphase-promoting complex (cyclosome)"
"YBR009C","B","HHF1 histone H4"
"YDR001C","M","NTH1 neutral trehalase (alpha,alpha-trehalase)"
"YMR308C","O","PSE1 beta karyopherin"
"YDR359C","U","VID21 weak similarity to human trichohyalin"
"YGL070C","T","RPB9 DNA-directed RNA polymerase II, 14.2 KD subunit"
"YBR010W","B","HHT1 histone H3"
"YGR267C","M","FOL2 GTP cyclohydrolase I"
"YJR111C","U","YJR111c weak similarity to E.coli colanic acid biosynthesis positive regulator RcsB"
"YIL071C","U","PCI8 hypothetical protein"
"YML022W","M","APT1 adenine phosphoribosyltransferase"
"YHR033W","G","YHR033w strong similarity to glutamate 5-kinase"
"YBR218C","E","PYC2 pyruvate carboxylase 2"
"YDL051W","T","LHP1 RNA binding protein"
"YER002W",NA,NA
"YHR024C","F","MAS2 processing peptidase, catalytic 53kDa (alpha) subunit, mitochondrial"
"YBR060C","D","ORC2 origin recognition complex, 72 kDa subunit"
"YJR109C","G","CPA2 arginine-specific carbamoylphosphate synthase, large chain"
"YER146W","T","LSM5 Sm-like (Lsm) protein"
"YLR421C","U","RPN13 weak similarity to human 42K membrane glycoprotein"
"YJL001W","F","PRE3 20S proteasome subunit (beta1)"
"YPR054W","C","SMK1 sporulation-specific MAP kinase"
